category,lambda_implied,first_stage_r2,beta_iv,beta_ols,beta_iv_se,sigma_xi,rho,n_obs,first_stage_f,weak_iv
ANA,0.012090127844443044,0.37717629142203224,-1.4324532127396017,-1.3519098104991494,0.014365778217666592,0.5280666084446813,0.14629090120260008,2751735,1642542.0381488872,False
BAT,0.0,0.12182859626915941,-0.8592106109655563,-0.9233926890494282,0.03601443311848295,0.47199544878579297,0.06404485223373867,402718,53791.25481120605,False
BER,0.0,0.10992941936416906,-2.512052355950407,-3.5203465896804937,0.06319363351393628,0.6511868073599419,0.2690230579118828,1965688,239107.66285577381,False
BJC,0.0,0.2629195838494427,-2.7133653077132345,-2.8216424516126035,0.027943496819980304,0.6657942197148874,0.35261266926735263,4282860,1514741.6900995236,False
CER,0.011531833326296696,0.5050910538156531,-2.4813247462965897,-2.3775193591043733,0.011096097069317237,0.5720783633780773,0.3235818414373917,4691656,4751190.024071855,False
CHE,0.0,0.15971060763568512,-1.7433410718713793,-2.2171152561899667,0.022777386538858566,0.6278887811051289,0.32663824084825277,6714823,1267300.3780440453,False
CIG,0.0,0.03387354790171442,-0.298440309654025,-1.0926901694148907,0.05016554240544009,0.5681262429167965,0.24514333129134291,1393263,47690.16727442724,False
COO,0.008910370961926201,0.3919113420950988,-2.685185979805242,-2.593676274534615,0.014509734775026853,0.6401354748076776,0.2653056653488743,7526787,4800646.436150726,False
CRA,0.024802957756935758,0.40961460898455726,-2.4425393933611996,-2.1478239752837496,0.02078455406408477,0.6101760922801328,0.24111752804543607,2210014,1518714.2690367003,False
CSO,0.0,0.592886681948821,-1.5132539847330087,-1.6680456900904554,0.012374376316813672,0.6003555219186593,0.25610580616836537,5498940,7960601.339982022,False
DID,0.0,0.23913025615335018,-2.547580790736464,-2.7496372358561567,0.04061101015519802,0.6845719484993893,0.32922833722265676,2159887,671952.5688714463,False
FEC,0.02438637017417797,0.2631150253155964,-2.1978347989043066,-1.8238772222367898,0.023649905462675723,0.6601789829507417,0.3988472032075884,4405295,1560705.2543859116,False
FRD,0.05861052226456771,0.12460692877594279,-3.4688726807454278,-2.982866763221648,0.019682320782304145,0.6943118423829224,0.16072990034233964,1650276,232078.3273128537,False
FRJ,0.0,0.20835132130344336,-1.4114722371405097,-2.5281154619242,0.03694484190986569,0.7869372835367607,0.3046433139848069,2342772,612974.2160097068,False
FSF,0.0,0.21082061644833885,-2.317857784520549,-2.331098053506275,0.03719551024568677,0.6720885252064381,0.319136684011778,2269077,599479.2213974338,False
GRO,0.0,0.19633885053366637,-1.0335413302961547,-1.3605205445650332,0.011340359620776634,0.5504833277578839,0.07867402904033213,3923830,938155.4071455855,False
LND,0.014812613164629083,0.20065472802925313,-3.413718971025464,-3.302118116170284,0.030751525013254483,0.6928067817206119,0.2840540694817895,3268217,809125.9303083051,False
OAT,0.03036117865440671,0.39499617259084335,-2.336609396549988,-2.035450752987402,0.01959983074648347,0.5631998218962098,0.2211475145084389,969968,628455.8271539087,False
PTW,0.0,0.23996594664066517,-2.550538268856006,-3.0460487634476685,0.07737471695910243,0.7386816125023892,0.4828788274934162,938721,292700.8198428325,False
SDR,0.061924865320419346,0.2815211112347232,-2.7919745026360707,-2.5709475937170367,0.024546591448035858,0.7948469732653384,0.23319205814197771,10529862,4085074.4185746275,False
SHA,0.0,0.14100758392280555,-1.2979799676247032,-1.3666362074868486,0.009946952531326159,0.5222215372494055,0.06619389771817608,4630096,737002.0963547331,False
SOA,0.01522997969590084,0.1436286729124984,-2.4221914407542764,-2.4027101504179162,0.04734048392090914,0.6219943543634512,0.24561603081942593,1829092,302563.82892617537,False
TBR,0.018054429490741077,0.19690033093790107,-1.2478708060589578,-1.168008318608788,0.01500307110852255,0.6300672804188502,0.1364728475756532,1694746,408449.3223712675,False
TNA,0.0,0.20035282031680016,-1.8117800547240628,-2.2150009116372056,0.027787547916335434,0.7160569854752157,0.27324860609234053,2372595,589467.812345056,False
TPA,0.0,0.23398035411281376,-2.129891965325246,-2.1598294666584796,0.016685494023514744,0.6591958986918994,0.19277723046954143,2953640,890242.7856450996,False
TTI,0.0,0.26838986350879374,-2.835752309413191,-3.54960270459989,0.05186216017430577,0.7352856750706587,0.35528985405740066,1145865,416753.86512954824,False
