category,elasticity,shock_std,shock_ar1,first_stage_r2,cost_shifter_std,lambda_anchor,direction
SDR,-2.79,0.79,0.23,0.28,0.031,0.062,loop
FRD,-3.47,0.69,0.16,0.12,0.019,0.059,loop
OAT,-2.34,0.56,0.22,0.39,0.04,0.03,loop
CRA,-2.44,0.61,0.24,0.41,0.042,0.025,loop
FEC,-2.2,0.66,0.4,0.26,0.03,0.024,loop
TBR,-1.25,0.63,0.14,0.2,0.025,0.018,loop
SOA,-2.42,0.62,0.25,0.14,0.02,0.015,loop
LND,-3.41,0.69,0.28,0.2,0.025,0.015,loop
CER,-2.48,0.57,0.32,0.51,0.051,0.012,loop
ANA,-1.43,0.53,0.15,0.38,0.039,0.012,loop
COO,-2.69,0.64,0.27,0.39,0.04,0.009,loop
CIG,-0.3,0.57,0.25,0.03,0.009,0.0,promo
CSO,-1.51,0.6,0.26,0.59,0.06,0.0,promo
CHE,-1.74,0.63,0.33,0.16,0.022,0.0,promo
BER,-2.51,0.65,0.27,0.11,0.018,0.0,promo
BAT,-0.86,0.47,0.06,0.12,0.019,0.0,promo
BJC,-2.71,0.67,0.35,0.26,0.03,0.0,promo
FRJ,-1.41,0.79,0.3,0.21,0.026,0.0,promo
FSF,-2.32,0.67,0.32,0.21,0.026,0.0,promo
GRO,-1.03,0.55,0.08,0.2,0.025,0.0,promo
DID,-2.55,0.68,0.33,0.24,0.028,0.0,promo
PTW,-2.55,0.74,0.48,0.24,0.028,0.0,promo
SHA,-1.3,0.52,0.07,0.14,0.02,0.0,promo
TNA,-1.81,0.72,0.27,0.2,0.025,0.0,promo
TPA,-2.13,0.66,0.19,0.23,0.028,0.0,promo
TTI,-2.84,0.74,0.36,0.27,0.03,0.0,promo
