scenario,arm,arm_label,lambda,cost_std,seed,horizon,cycle,price,observed_demand,estimated_elasticity,true_elasticity,residual_bias,realized_profit,oracle_price,oracle_profit,cumulative_regret
reference,greedy,Naive (greedy),0.6,0.3,2,200,0,2.461632263594843,16.50264849036482,,-1.5,,21.43166664577626,2.3259036661994905,21.497021018802403,0.06535437302614255
reference,greedy,Naive (greedy),0.6,0.3,2,200,1,1.4358201992741462,58.17725925058031,,-1.5,,34.67457169814855,1.6796085928285112,35.19491696651319,0.5856996413907858
reference,greedy,Naive (greedy),0.6,0.3,2,200,2,2.335924272553188,21.974294020437192,,-1.5,,22.27928852398052,2.6440893367095404,23.023174634541615,1.329585751951882
reference,greedy,Naive (greedy),0.6,0.3,2,200,3,0.7451756291361141,235.2988255441335,,-1.5,,-7.026746421402457,1.550077407819749,43.64588358195572,52.00221575531006
reference,greedy,Naive (greedy),0.6,0.3,2,200,4,5.1049657226712934,4.570238396062604,,-1.5,,16.53228994616468,2.9751710177868866,22.210445804283555,57.68037161342893
reference,greedy,Naive (greedy),0.6,0.3,2,200,5,3.0847754570067187,16.69703128332511,,-1.5,,33.23563323738669,2.188527859863895,33.227076423690406,57.671814799732644
reference,greedy,Naive (greedy),0.6,0.3,2,200,6,1.0805478057301714,140.5386208508118,,-1.5,,68.14269629267999,1.1913593798088797,61.35480545263628,50.883923959688936
reference,greedy,Naive (greedy),0.6,0.3,2,200,7,1.3953499557050115,76.33577214807859,,-1.5,,64.29073729423062,1.1062802616154972,61.53100958057394,48.12419624603225
reference,greedy,Naive (greedy),0.6,0.3,2,200,8,1.9791782389020545,35.78477021805275,,-1.5,,38.27716062257603,1.8190575308310801,35.08512196782932,44.932157591285545
reference,greedy,Naive (greedy),0.6,0.3,2,200,9,2.4974340334430063,22.498497583611037,,-1.5,,23.01631868543678,2.948836450783527,22.01793684204014,43.9337757478889
reference,greedy,Naive (greedy),0.6,0.3,2,200,10,2.7857758784165405,18.79566268959574,,-1.5,,32.83473346180201,2.0776889434748123,34.58200176815572,45.68104405424261
reference,greedy,Naive (greedy),0.6,0.3,2,200,11,1.8591444844436178,44.11571511071371,,-1.5,,37.004445910401365,2.0406806237642225,35.24157872696138,43.918176870802625
reference,greedy,Naive (greedy),0.6,0.3,2,200,12,1.6883114023798507,51.86218988583424,,-1.5,,39.240816548952836,1.8633501629628626,38.516633829468226,43.193994151318016
reference,greedy,Naive (greedy),0.6,0.3,2,200,13,1.967715460171443,36.85414202168532,,-1.5,,26.532416136279554,2.4955701784665654,28.343439358076555,45.00501737311502
reference,greedy,Naive (greedy),0.6,0.3,2,200,14,2.5672432066660287,21.541429421076568,,-1.5,,31.17883921061888,2.2397073714071167,32.730540980197304,46.55671914269344
reference,greedy,Naive (greedy),0.6,0.3,2,200,15,2.1116962344987926,33.11908409741539,,-1.5,,33.91243454116116,2.1754835086282562,33.90812028573899,46.552404887271265
reference,greedy,Naive (greedy),0.6,0.3,2,200,16,1.7529795012441007,47.83036012611069,-9.47680955408889e-16,-1.5,1.4999999999999991,48.249269479015176,1.4884425400655903,49.55573937841573,47.85887478667182
reference,greedy,Naive (greedy),0.6,0.3,2,200,17,29.990432982838865,0.15872593738031557,-9.47680955408889e-16,-1.5,1.4999999999999991,4.53358055965965,2.8562317126513226,24.56975238563114,67.89504661264331
reference,greedy,Naive (greedy),0.6,0.3,2,200,18,31.609147657751773,0.32313763960605063,-9.47680955408889e-16,-1.5,1.4999999999999991,9.727719394366696,3.0103950150239807,24.8350052215353,83.00233243981192
reference,greedy,Naive (greedy),0.6,0.3,2,200,19,14.212422152371108,2.02792602116118,-9.47680955408889e-16,-1.5,1.4999999999999991,27.449276863353287,1.3535640145115353,58.03370360357772,113.58675918003635
reference,greedy,Naive (greedy),0.6,0.3,2,200,20,41.88680988874337,0.22805088286739872,8.400568495410382e-17,-1.5,1.5,9.09745140535887,3.9892199894041336,18.308759770077067,122.79806754475455
reference,greedy,Naive (greedy),0.6,0.3,2,200,21,26.082756217206413,0.7166894667713177,8.400568495410382e-17,-1.5,1.5,17.80308251927232,2.484072020686327,33.0153857607177,138.01037078619993
