category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
SDR,baseline,greedy,0,0.0,0.062,0.28,loop,-2.79,-0.4227,2.3673,4142.82,92.75
SDR,exploration,controlled_variance,0,0.0,0.062,0.28,loop,-2.79,-2.6777,0.1123,2020.54,45.24
SDR,causal,twosls,0,0.0,0.062,0.28,loop,-2.79,-3.6552,0.8652,313.88,7.03
SDR,baseline,greedy,0,0.1,0.062,0.28,loop,-2.79,-0.5765,2.2135,4167.49,93.3
SDR,exploration,controlled_variance,0,0.1,0.062,0.28,loop,-2.79,-2.6126,0.1774,2179.08,48.79
SDR,causal,twosls,0,0.1,0.062,0.28,loop,-2.79,-2.0,0.79,720.68,16.13
SDR,baseline,greedy,0,0.2,0.062,0.28,loop,-2.79,-2.7753,0.0147,3247.77,72.71
SDR,exploration,controlled_variance,0,0.2,0.062,0.28,loop,-2.79,-2.6277,0.1623,2507.26,56.13
SDR,causal,twosls,0,0.2,0.062,0.28,loop,-2.79,-2.0,0.79,958.49,21.46
SDR,baseline,greedy,0,0.3,0.062,0.28,loop,-2.79,-2.8496,0.0596,2746.72,61.49
SDR,exploration,controlled_variance,0,0.3,0.062,0.28,loop,-2.79,-2.5775,0.2125,2996.94,67.1
SDR,causal,twosls,0,0.3,0.062,0.28,loop,-2.79,-2.0,0.79,1215.63,27.22
SDR,baseline,greedy,0,0.4,0.062,0.28,loop,-2.79,-2.6636,0.1264,2160.81,48.38
SDR,exploration,controlled_variance,0,0.4,0.062,0.28,loop,-2.79,-2.6535,0.1365,3704.99,82.95
SDR,causal,twosls,0,0.4,0.062,0.28,loop,-2.79,-2.0,0.79,1500.52,33.59
SDR,baseline,greedy,0,0.6,0.062,0.28,loop,-2.79,-2.6341,0.1559,2990.96,66.96
SDR,exploration,controlled_variance,0,0.6,0.062,0.28,loop,-2.79,-2.6582,0.1318,6409.99,143.51
SDR,causal,twosls,0,0.6,0.062,0.28,loop,-2.79,-2.0,0.79,2271.96,50.87
SDR,baseline,greedy,0,0.8,0.062,0.28,loop,-2.79,-2.6113,0.1787,4869.32,109.02
SDR,exploration,controlled_variance,0,0.8,0.062,0.28,loop,-2.79,-2.6084,0.1816,13071.23,292.64
SDR,causal,twosls,0,0.8,0.062,0.28,loop,-2.79,-2.0,0.79,3789.71,84.84
FRD,baseline,greedy,0,0.0,0.059,0.12,loop,-3.47,-0.5278,2.9422,3014.58,95.44
FRD,exploration,controlled_variance,0,0.0,0.059,0.12,loop,-3.47,-3.5153,0.0453,1606.96,50.88
FRD,causal,twosls,0,0.0,0.059,0.12,loop,-3.47,-2.0,1.47,888.3,28.12
FRD,baseline,greedy,0,0.1,0.059,0.12,loop,-3.47,-0.8194,2.6506,3025.29,95.78
FRD,exploration,controlled_variance,0,0.1,0.059,0.12,loop,-3.47,-3.5322,0.0622,1983.37,62.8
FRD,causal,twosls,0,0.1,0.059,0.12,loop,-3.47,-2.0,1.47,1038.75,32.89
FRD,baseline,greedy,0,0.2,0.059,0.12,loop,-3.47,-3.3774,0.0926,1581.93,50.09
FRD,exploration,controlled_variance,0,0.2,0.059,0.12,loop,-3.47,-3.4586,0.0114,2546.96,80.64
FRD,causal,twosls,0,0.2,0.059,0.12,loop,-3.47,-2.0,1.47,1187.95,37.61
FRD,baseline,greedy,0,0.3,0.059,0.12,loop,-3.47,-3.3134,0.1566,1456.26,46.11
FRD,exploration,controlled_variance,0,0.3,0.059,0.12,loop,-3.47,-3.4479,0.0221,3446.76,109.13
FRD,causal,twosls,0,0.3,0.059,0.12,loop,-3.47,-2.0,1.47,1342.64,42.51
FRD,baseline,greedy,0,0.4,0.059,0.12,loop,-3.47,-3.5146,0.0446,1669.29,52.85
