category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
SDR,baseline,greedy,0,0.0,0.062,0.28,loop,-2.79,-0.4002,2.3898,3244.48,91.47
SDR,exploration,controlled_variance,0,0.0,0.062,0.28,loop,-2.79,-2.6431,0.1469,1871.14,52.75
SDR,causal,twosls,0,0.0,0.062,0.28,loop,-2.79,0.5138,3.3038,2825.14,79.65
SDR,baseline,greedy,0,0.4,0.062,0.28,loop,-2.79,-2.5999,0.1901,1991.61,56.15
SDR,exploration,controlled_variance,0,0.4,0.062,0.28,loop,-2.79,-2.5191,0.2709,2906.92,81.96
SDR,causal,twosls,0,0.4,0.062,0.28,loop,-2.79,-2.0,0.79,1266.43,35.71
SDR,baseline,greedy,0,0.8,0.062,0.28,loop,-2.79,-2.5674,0.2226,3926.21,110.7
SDR,exploration,controlled_variance,0,0.8,0.062,0.28,loop,-2.79,-2.5167,0.2733,8174.62,230.47
SDR,causal,twosls,0,0.8,0.062,0.28,loop,-2.79,-2.0,0.79,3135.67,88.41
FRD,baseline,greedy,0,0.0,0.059,0.12,loop,-3.47,-0.4989,2.9711,2332.91,94.23
FRD,exploration,controlled_variance,0,0.0,0.059,0.12,loop,-3.47,-3.4639,0.0061,1389.25,56.12
FRD,causal,twosls,0,0.0,0.059,0.12,loop,-3.47,-7.7094,4.2394,690.27,27.88
FRD,baseline,greedy,0,0.4,0.059,0.12,loop,-3.47,-3.3894,0.0806,1487.23,60.07
FRD,exploration,controlled_variance,0,0.4,0.059,0.12,loop,-3.47,-3.3243,0.1457,3352.66,135.43
FRD,causal,twosls,0,0.4,0.059,0.12,loop,-3.47,-2.0,1.47,1252.63,50.6
FRD,baseline,greedy,0,0.8,0.059,0.12,loop,-3.47,-3.3234,0.1466,4358.46,176.05
FRD,exploration,controlled_variance,0,0.8,0.059,0.12,loop,-3.47,-3.2984,0.1716,16760.15,677.0
FRD,causal,twosls,0,0.8,0.059,0.12,loop,-3.47,-2.0,1.47,3172.11,128.13
OAT,baseline,greedy,0,0.0,0.03,0.39,loop,-2.34,-0.3409,1.9991,3176.89,84.84
OAT,exploration,controlled_variance,0,0.0,0.03,0.39,loop,-2.34,-2.2399,0.1001,1981.19,52.91
OAT,causal,twosls,0,0.0,0.03,0.39,loop,-2.34,-0.4126,1.9274,2686.87,71.75
OAT,baseline,greedy,0,0.4,0.03,0.39,loop,-2.34,-1.3345,1.0055,3255.48,86.93
OAT,exploration,controlled_variance,0,0.4,0.03,0.39,loop,-2.34,-2.1516,0.1884,2105.51,56.23
OAT,causal,twosls,0,0.4,0.03,0.39,loop,-2.34,-1.2517,1.0883,1895.26,50.61
OAT,baseline,greedy,0,0.8,0.03,0.39,loop,-2.34,-2.1511,0.1889,2249.89,60.08
OAT,exploration,controlled_variance,0,0.8,0.03,0.39,loop,-2.34,-2.1564,0.1836,3399.5,90.78
OAT,causal,twosls,0,0.8,0.03,0.39,loop,-2.34,-1.5818,0.7582,1582.84,42.27
CRA,baseline,greedy,0,0.0,0.025,0.41,loop,-2.44,-0.3556,2.0844,3198.98,86.81
CRA,exploration,controlled_variance,0,0.0,0.025,0.41,loop,-2.44,-2.2703,0.1697,1984.41,53.85
CRA,causal,twosls,0,0.0,0.025,0.41,loop,-2.44,-0.4466,1.9934,2724.03,73.92
CRA,baseline,greedy,0,0.4,0.025,0.41,loop,-2.44,-2.3333,0.1067,2365.45,64.19
CRA,exploration,controlled_variance,0,0.4,0.025,0.41,loop,-2.44,-2.2517,0.1883,2254.37,61.18
CRA,causal,twosls,0,0.4,0.025,0.41,loop,-2.44,-1.3309,1.1091,1786.21,48.47
CRA,baseline,greedy,0,0.8,0.025,0.41,loop,-2.44,-2.251,0.189,2484.35,67.42
CRA,exploration,controlled_variance,0,0.8,0.025,0.41,loop,-2.44,-2.2556,0.1844,3983.95,108.11
CRA,causal,twosls,0,0.8,0.025,0.41,loop,-2.44,-1.6717,0.7683,1790.34,48.58
FEC,baseline,greedy,0,0.0,0.024,0.26,loop,-2.2,-0.3087,1.8913,3782.39,82.41
FEC,exploration,controlled_variance,0,0.0,0.024,0.26,loop,-2.2,-2.1474,0.0526,2986.23,65.07
FEC,causal,twosls,0,0.0,0.024,0.26,loop,-2.2,0.3753,2.5753,3032.37,66.07
FEC,baseline,greedy,0,0.4,0.024,0.26,loop,-2.2,-1.0991,1.1009,3981.74,86.76
FEC,exploration,controlled_variance,0,0.4,0.024,0.26,loop,-2.2,-1.945,0.255,2684.36,58.49
FEC,causal,twosls,0,0.4,0.024,0.26,loop,-2.2,-2.0,0.2,702.48,15.31
FEC,baseline,greedy,0,0.8,0.024,0.26,loop,-2.2,-1.9479,0.2521,3230.13,70.38
FEC,exploration,controlled_variance,0,0.8,0.024,0.26,loop,-2.2,-1.9402,0.2598,3968.55,86.47
FEC,causal,twosls,0,0.8,0.024,0.26,loop,-2.2,-2.0,0.2,1944.58,42.37
TBR,baseline,greedy,0,0.0,0.018,0.2,loop,-1.25,-0.1763,1.0737,1741.97,17.26
TBR,exploration,controlled_variance,0,0.0,0.018,0.2,loop,-1.25,-0.5191,0.7309,2040.99,20.23
TBR,causal,twosls,0,0.0,0.018,0.2,loop,-1.25,-3.6443,2.3943,3816.56,37.82
TBR,baseline,greedy,0,0.4,0.018,0.2,loop,-1.25,-0.4422,0.8078,2063.24,20.45
TBR,exploration,controlled_variance,0,0.4,0.018,0.2,loop,-1.25,-0.7039,0.5461,2359.61,23.38
TBR,causal,twosls,0,0.4,0.018,0.2,loop,-1.25,-2.0,0.75,1640.61,16.26
TBR,baseline,greedy,0,0.8,0.018,0.2,loop,-1.25,-0.6584,0.5916,2447.9,24.26
TBR,exploration,controlled_variance,0,0.8,0.018,0.2,loop,-1.25,-0.8164,0.4336,2739.15,27.14
TBR,causal,twosls,0,0.8,0.018,0.2,loop,-1.25,-2.0,0.75,1778.59,17.63
SOA,baseline,greedy,0,0.0,0.015,0.14,loop,-2.42,-0.3445,2.0755,3227.04,86.56
SOA,exploration,controlled_variance,0,0.0,0.015,0.14,loop,-2.42,-2.2879,0.1321,1944.1,52.15
SOA,causal,twosls,0,0.0,0.015,0.14,loop,-2.42,-6.7267,4.3067,566.97,15.21
SOA,baseline,greedy,0,0.4,0.015,0.14,loop,-2.42,-2.3474,0.0726,2564.21,68.78
SOA,exploration,controlled_variance,0,0.4,0.015,0.14,loop,-2.42,-2.204,0.216,2273.08,60.97
SOA,causal,twosls,0,0.4,0.015,0.14,loop,-2.42,-2.0,0.42,665.6,17.85
SOA,baseline,greedy,0,0.8,0.015,0.14,loop,-2.42,-2.2125,0.2075,2516.48,67.5
SOA,exploration,controlled_variance,0,0.8,0.015,0.14,loop,-2.42,-2.2398,0.1802,3970.58,106.51
SOA,causal,twosls,0,0.8,0.015,0.14,loop,-2.42,-2.0,0.42,1652.01,44.31
LND,baseline,greedy,0,0.0,0.015,0.2,loop,-3.41,-0.4894,2.9206,2464.55,94.26
LND,exploration,controlled_variance,0,0.0,0.015,0.2,loop,-3.41,-3.3913,0.0187,1466.59,56.09
LND,causal,twosls,0,0.0,0.015,0.2,loop,-3.41,-4.3019,0.8919,365.59,13.98
LND,baseline,greedy,0,0.4,0.015,0.2,loop,-3.41,-3.3711,0.0389,1578.92,60.39
LND,exploration,controlled_variance,0,0.4,0.015,0.2,loop,-3.41,-3.2544,0.1556,3294.06,125.99
LND,causal,twosls,0,0.4,0.015,0.2,loop,-3.41,-2.0,1.41,1321.88,50.56
LND,baseline,greedy,0,0.8,0.015,0.2,loop,-3.41,-3.2603,0.1497,4422.96,169.17
LND,exploration,controlled_variance,0,0.8,0.015,0.2,loop,-3.41,-3.2391,0.1709,14832.68,567.32
LND,causal,twosls,0,0.8,0.015,0.2,loop,-3.41,-2.0,1.41,3292.71,125.94
CER,baseline,greedy,0,0.0,0.012,0.51,loop,-2.48,-0.6399,1.8401,3141.43,87.41
CER,exploration,controlled_variance,0,0.0,0.012,0.51,loop,-2.48,-2.2318,0.2482,1935.91,53.87
CER,causal,twosls,0,0.0,0.012,0.51,loop,-2.48,-0.9954,1.4846,2682.02,74.63
CER,baseline,greedy,0,0.4,0.012,0.51,loop,-2.48,-2.5411,0.0611,2999.92,83.47
CER,exploration,controlled_variance,0,0.4,0.012,0.51,loop,-2.48,-2.3154,0.1646,2228.0,61.99
CER,causal,twosls,0,0.4,0.012,0.51,loop,-2.48,-1.5224,0.9576,1285.57,35.77
CER,baseline,greedy,0,0.8,0.012,0.51,loop,-2.48,-2.3025,0.1775,2412.6,67.13
CER,exploration,controlled_variance,0,0.8,0.012,0.51,loop,-2.48,-2.3265,0.1535,3903.65,108.62
CER,causal,twosls,0,0.8,0.012,0.51,loop,-2.48,-1.7875,0.6925,1655.15,46.05
ANA,baseline,greedy,0,0.0,0.012,0.38,loop,-1.43,-0.2061,1.2239,2688.86,36.15
ANA,exploration,controlled_variance,0,0.0,0.012,0.38,loop,-1.43,-0.7013,0.7287,2940.42,39.53
ANA,causal,twosls,0,0.0,0.012,0.38,loop,-1.43,0.4915,1.9215,2377.79,31.96
ANA,baseline,greedy,0,0.4,0.012,0.38,loop,-1.43,-0.5032,0.9268,2944.85,39.59
ANA,exploration,controlled_variance,0,0.4,0.012,0.38,loop,-1.43,-0.9053,0.5247,3167.32,42.58
ANA,causal,twosls,0,0.4,0.012,0.38,loop,-1.43,-0.3435,1.0865,2593.43,34.86
ANA,baseline,greedy,0,0.8,0.012,0.38,loop,-1.43,-0.7889,0.6411,3239.5,43.55
ANA,exploration,controlled_variance,0,0.8,0.012,0.38,loop,-1.43,-1.0099,0.4201,3435.57,46.18
ANA,causal,twosls,0,0.8,0.012,0.38,loop,-1.43,-0.6727,0.7573,2888.19,38.83
COO,baseline,greedy,0,0.0,0.009,0.39,loop,-2.69,-0.3908,2.2992,3023.49,90.09
COO,exploration,controlled_variance,0,0.0,0.009,0.39,loop,-2.69,-2.5838,0.1062,1695.04,50.51
COO,causal,twosls,0,0.0,0.009,0.39,loop,-2.69,-0.5597,2.1303,2606.68,77.67
COO,baseline,greedy,0,0.4,0.009,0.39,loop,-2.69,-2.6692,0.0208,2080.17,61.98
COO,exploration,controlled_variance,0,0.4,0.009,0.39,loop,-2.69,-2.5056,0.1844,2426.02,72.29
COO,causal,twosls,0,0.4,0.009,0.39,loop,-2.69,-1.5398,1.1502,1490.66,44.42
COO,baseline,greedy,0,0.8,0.009,0.39,loop,-2.69,-2.5142,0.1758,2784.3,82.96
COO,exploration,controlled_variance,0,0.8,0.009,0.39,loop,-2.69,-2.512,0.178,5283.94,157.44
COO,causal,twosls,0,0.8,0.009,0.39,loop,-2.69,-2.0,0.69,2032.94,60.57
CSO,baseline,greedy,0,0.0,0.0,0.59,promo,-1.51,-0.3637,1.1463,3181.4,43.92
CSO,exploration,controlled_variance,0,0.0,0.0,0.59,promo,-1.51,-0.7258,0.7842,3459.87,47.76
CSO,causal,twosls,0,0.0,0.0,0.59,promo,-1.51,-0.077,1.433,2764.15,38.16
CSO,baseline,greedy,0,0.4,0.0,0.59,promo,-1.51,-0.6118,0.8982,3514.22,48.51
CSO,exploration,controlled_variance,0,0.4,0.0,0.59,promo,-1.51,-0.9357,0.5743,3744.12,51.69
CSO,causal,twosls,0,0.4,0.0,0.59,promo,-1.51,-0.5991,0.9109,3055.94,42.19
CSO,baseline,greedy,0,0.8,0.0,0.59,promo,-1.51,-0.8691,0.6409,3892.86,53.74
CSO,exploration,controlled_variance,0,0.8,0.0,0.59,promo,-1.51,-1.0582,0.4518,4078.85,56.31
CSO,causal,twosls,0,0.8,0.0,0.59,promo,-1.51,-0.8424,0.6676,3447.29,47.59
CHE,baseline,greedy,0,0.0,0.0,0.16,promo,-1.74,-0.2414,1.4986,3749.32,62.19
CHE,exploration,controlled_variance,0,0.0,0.0,0.16,promo,-1.74,-0.8461,0.8939,3959.79,65.68
CHE,causal,twosls,0,0.0,0.0,0.16,promo,-1.74,-4.0146,2.2746,1100.72,18.26
CHE,baseline,greedy,0,0.4,0.0,0.16,promo,-1.74,-0.7051,1.0349,4054.91,67.25
CHE,exploration,controlled_variance,0,0.4,0.0,0.16,promo,-1.74,-1.3782,0.3618,3857.2,63.98
CHE,causal,twosls,0,0.4,0.0,0.16,promo,-1.74,-2.0,0.26,339.61,5.63
CHE,baseline,greedy,0,0.8,0.0,0.16,promo,-1.74,-1.0853,0.6547,4424.8,73.39
CHE,exploration,controlled_variance,0,0.8,0.0,0.16,promo,-1.74,-1.4049,0.3351,3678.95,61.02
CHE,causal,twosls,0,0.8,0.0,0.16,promo,-1.74,-2.0,0.26,1217.48,20.19
BER,baseline,greedy,0,0.0,0.0,0.11,promo,-2.51,-0.355,2.155,3215.82,88.08
BER,exploration,controlled_variance,0,0.0,0.0,0.11,promo,-2.51,-2.4193,0.0907,1926.75,52.77
BER,causal,twosls,0,0.0,0.0,0.11,promo,-2.51,-6.2416,3.7316,396.32,10.85
BER,baseline,greedy,0,0.4,0.0,0.11,promo,-2.51,-2.3616,0.1484,2312.61,63.34
BER,exploration,controlled_variance,0,0.4,0.0,0.11,promo,-2.51,-2.3114,0.1986,2377.3,65.11
BER,causal,twosls,0,0.4,0.0,0.11,promo,-2.51,-2.0,0.51,792.86,21.72
BER,baseline,greedy,0,0.8,0.0,0.11,promo,-2.51,-2.2913,0.2187,2721.11,74.53
BER,exploration,controlled_variance,0,0.8,0.0,0.11,promo,-2.51,-2.3131,0.1969,4549.22,124.6
BER,causal,twosls,0,0.8,0.0,0.11,promo,-2.51,-2.0,0.51,1910.02,52.31
BJC,baseline,greedy,0,0.0,0.0,0.26,promo,-2.71,-0.3861,2.3239,3150.18,90.59
BJC,exploration,controlled_variance,0,0.0,0.0,0.26,promo,-2.71,-2.6015,0.1085,1816.38,52.23
BJC,causal,twosls,0,0.0,0.0,0.26,promo,-2.71,0.0399,2.7499,2582.92,74.28
BJC,baseline,greedy,0,0.4,0.0,0.26,promo,-2.71,-2.5633,0.1467,2064.97,59.38
BJC,exploration,controlled_variance,0,0.4,0.0,0.26,promo,-2.71,-2.4951,0.2149,2591.56,74.52
BJC,causal,twosls,0,0.4,0.0,0.26,promo,-2.71,-2.0,0.71,1040.51,29.92
BJC,baseline,greedy,0,0.8,0.0,0.26,promo,-2.71,-2.5361,0.1739,3152.92,90.67
BJC,exploration,controlled_variance,0,0.8,0.0,0.26,promo,-2.71,-2.5056,0.2044,5835.79,167.82
BJC,causal,twosls,0,0.8,0.0,0.26,promo,-2.71,-2.0,0.71,2380.7,68.46
FRJ,baseline,greedy,0,0.0,0.0,0.21,promo,-1.41,-0.1906,1.2194,3246.44,34.16
FRJ,exploration,controlled_variance,0,0.0,0.0,0.21,promo,-1.41,-0.5272,0.8828,3692.29,38.86
FRJ,causal,twosls,0,0.0,0.0,0.21,promo,-1.41,-5.0573,3.6473,3091.59,32.54
FRJ,baseline,greedy,0,0.4,0.0,0.21,promo,-1.41,-0.5096,0.9004,3873.8,40.77
FRJ,exploration,controlled_variance,0,0.4,0.0,0.21,promo,-1.41,-0.7529,0.6571,4252.1,44.75
FRJ,causal,twosls,0,0.4,0.0,0.21,promo,-1.41,-2.0,0.59,721.58,7.59
